manufacturer,name,category,subcategory,gwp_total,gwp_use_ratio,yearly_tec,lifetime,use_location,report_date,sources,sources_hash,gwp_error_ratio,gwp_manufacturing_ratio,weight,assembly_location,screen_size,server_type,hard_drive,memory,number_cpu,height,added_date,add_method,gwp_transport_ratio,gwp_eol_ratio,gwp_electronics_ratio,gwp_battery_ratio,gwp_hdd_ratio,gwp_ssd_ratio,gwp_othercomponents_ratio,comment
HP,V24ie G5,Workplace,Workstation,202.0,0.55,41.6,5.0,North America,2021,https://h20195.www2.hp.com/v2/getpdf.aspx/c08405177.pdf,e84c6fc660404f36f8f6105f5ba2f71d,,0.43,4.1,,23.8,,,,,,2025-04-02,HP Auto Parser,0.01,0.01,,,,,,
HP,ENVY x360 15.6 Convertible PC,Workplace,Workstation,323.0,0.14,20.34,4.0,North America,2021,https://h20195.www2.hp.com/v2/getpdf.aspx/c08398206.pdf,1c35e7a65e1a8c1b2db29b1ce4d55347,,0.81,2.1,,15.6,,,,,,2025-04-02,HP Auto Parser,0.05,0.0,,,,,,
HP,Pro SFF 290/280/ZHAN 66 G9 Desktop PC,Workplace,Workstation,338.0,0.58,72.84,5.0,North America,2021,https://h20195.www2.hp.com/v2/getpdf.aspx/c08398214.pdf,311a273eb6e0edd77f5542009f754cd0,,0.42,4.7,,,,,,,,2025-04-02,HP Auto Parser,0.0,0.0,,,,,,
HP,ProOne 240 23.8 inch G9 All-in-One Desktop PC,Workplace,Workstation,361.0,0.54,72.16,5.0,North America,2021,https://h20195.www2.hp.com/v2/getpdf.aspx/c08398207.pdf,33f8e803b2a938a0225e6d157151bb65,,0.45,6.1,,23.8,,,,,,2025-04-02,HP Auto Parser,0.0,0.01,,,,,,
HP,V22i G5,Workplace,Workstation,172.0,0.55,35.24,5.0,North America,2021,https://h20195.www2.hp.com/v2/getpdf.aspx/c08398202.pdf,28b1cc8229c4e366c87212ca2eae4d8f,,0.43,3.2,,21.5,,,,,,2025-04-02,HP Auto Parser,0.01,0.01,,,,,,
HP,V24i G5,Workplace,Workstation,181.0,0.52,35.4,5.0,North America,2021,https://h20195.www2.hp.com/v2/getpdf.aspx/c08398203.pdf,04f240bd6dc51e68891d5c5357e26636,,0.46,3.4,,24,,,,,,2025-04-02,HP Auto Parser,0.01,0.01,,,,,,
HP,V24v G5,Workplace,Workstation,189.0,0.53,37.56,5.0,North America,2021,https://h20195.www2.hp.com/v2/getpdf.aspx/c08398212.pdf,fb488092e8c41936410c8c2f362ee8ae,,0.45,3.6,,23.8,,,,,,2025-04-02,HP Auto Parser,0.01,0.01,,,,,,
HP,V27i G5,Workplace,Workstation,237.0,0.53,46.64,5.0,North America,2021,https://h20195.www2.hp.com/v2/getpdf.aspx/c08398213.pdf,9e91dc7352b87e60345c03c0d35c2fd4,,0.45,5.09,,27,,,,,,2025-04-02,HP Auto Parser,0.01,0.01,,,,,,
HP,Presence Mini Conferencing PC,Workplace,Workstation,188.0,0.56,39.41,5.0,North America,2021,https://h20195.www2.hp.com/v2/getpdf.aspx/c08395048.pdf,0b423b3d1f2108609ed91badbb0c2ab1,,0.43,2.3,,,,,,,,2025-04-02,HP Auto Parser,0.0,0.01,,,,,,
HP,V22v G5,Workplace,Workstation,196.0,0.48,35.48,5.0,North America,2021,https://h20195.www2.hp.com/v2/getpdf.aspx/c08395047.pdf,b0ae744ffbab278788a9af0c0875f16d,,0.5,3,,22,,,,,,2025-04-02,HP Auto Parser,0.01,0.01,,,,,,
