manufacturer,name,category,subcategory,gwp_total,gwp_use_ratio,yearly_tec,lifetime,use_location,report_date,sources,sources_hash,gwp_error_ratio,gwp_manufacturing_ratio,weight,assembly_location,screen_size,server_type,hard_drive,memory,number_cpu,height,added_date,add_method,gwp_transport_ratio,gwp_eol_ratio,gwp_electronics_ratio,gwp_battery_ratio,gwp_hdd_ratio,gwp_ssd_ratio,gwp_othercomponents_ratio,comment
Lenovo,L24e-30,,,229.0,0.23,,2.0,WW,2020-11-1,https://p3-ofp.static.pub/ShareResource/compliance/eco-declaration/pdfs/Batch4/pcf-lenovo-l24e-30.pdf,d01d929abe9c74131a030c0fa0581b27,0.275,0.735,3.82,CN,23.8,,,,,,2025-04-04,Lenovo Auto Parser,0.03,0.005,0.14,,,,,
Lenovo,L22i-30/L22e-30,,,331.0,0.44,,5.0,WW,2021-01-1,https://p2-ofp.static.pub/ShareResource/compliance/eco-declaration/pdfs/Batch7/pcf-lenovo-l22i-30_l22e-30.pdf,a148f42889de563114a49bca7912db60,0.314,,3.14,CN,21.5,,,,,,2025-04-04,Lenovo Auto Parser,,0.01,,,,,,
Lenovo,L22e-20,,,384.0,0.4,,5.0,WW,2018-05-1,https://static.lenovo.com/ww/docs/regulatory/eco-declaration/pcf-lenovo-l22e-20.pdf,a70437ab7ae583f498fbb3c925cb8bf6,0.411,,4.07,CN,21.5,,,,,,2025-04-04,Lenovo Auto Parser,,0.005,,,,,,
Lenovo,G34w-30,,,1200.0,0.42,,5.0,WW,2022-07-4,https://p3-ofp.static.pub/ShareResource/compliance/eco-declaration/pdfs/Batch7/pcf-lenovo-g34w-30.pdf,a5660bc7983a9902cafb8aa269c37235,0.328,0.34,8.33,CN,,,,,,,2025-04-04,Lenovo Auto Parser,0.23,0.01,,,,,,
Lenovo,G32qc-30,,,1050.0,0.37,,5.0,WW,2022-07-4,https://p2-ofp.static.pub/ShareResource/compliance/eco-declaration/pdfs/Batch7/pcf-lenovo-g32qc-30.pdf,1ffed1ce03a2b10573cb980c312aae2a,0.381,0.36,8.33,CN,31.5,,,,,,2025-04-04,Lenovo Auto Parser,0.26,0.01,,,,,,
Lenovo,G27q-20,,,513.29,0.46,,5.0,WW,2020-10-2,https://p4-ofp.static.pub/ShareResource/compliance/eco-declaration/pdfs/Batch4/pcf-lenovo-g27q-20.pdf,de87b436c69d6b1c973cb19b4f89dfe3,,,8.55,CN,,,,,,,2025-04-04,Lenovo Auto Parser,,0.01,0.21,,,,,
Lenovo,G27-20,,,534.38,0.48,,5.0,WW,2020-09-2,https://p2-ofp.static.pub/ShareResource/compliance/eco-declaration/pdfs/Batch4/pcf-lenovo-g27-20.pdf,d7ff17d6a2b38a0f3072ba65ef9b2e58,0.32,,8.25,CN,,,,,,,2025-04-04,Lenovo Auto Parser,,0.01,0.2,,,,,
Lenovo,G27qc-30,,,959.0,0.33,,5.0,WW,2022-06-0,https://p1-ofp.static.pub/ShareResource/compliance/eco-declaration/pdfs/Batch7/pcf-lenovo-g27qc-30.pdf,f619bf71d530a4c19986fff98f772c1c,0.265,0.44,6.08,CN,,,,,,,2025-04-04,Lenovo Auto Parser,0.22,0.01,,,,,,
Lenovo,G27c-30,,,868.0,0.26,,5.0,WW,2022-06-0,https://p4-ofp.static.pub/ShareResource/compliance/eco-declaration/pdfs/Batch7/pcf-lenovo-g27c-30.pdf,140d05ebb4cde5a13efb37c01351094f,0.272,0.48,6.08,CN,,,,,,,2025-04-04,Lenovo Auto Parser,0.25,0.01,,,,,,
Lenovo,G27qe-20/ G27qe-28,,,618.0,,,5.0,WW,2021-12-1,https://static.lenovo.com/ww/docs/regulatory/eco-declaration/pcf-lenovo-g27qe-20_g27qe-28.pdf,8309d944843db0b901dc8df74c18e8d4,0.312,,6.66,CN,,,,,,,2025-04-04,Lenovo Auto Parser,,,,,,,,
Lenovo,G27e-20,,,500.0,,,5.0,WW,2021-06-1,https://static.lenovo.com/ww/docs/regulatory/eco-declaration/2021/pcf-lenovo-g27e-20.pdf,fb2565d9cd124b8ce751482718698305,0.304,,,CN,,,,,,,2025-04-04,Lenovo Auto Parser,,,,,,,,
Lenovo,G27-30 / G27q-30,,,790.0,,,5.0,WW,2021-01-2,https://static.lenovo.com/ww/docs/regulatory/eco-declaration/pcf-lenovo-g27-30_g27q-30.pdf,bbb49006050808a8029e93c97cca0ecf,0.211,,5.75,CN,,,,,,,2025-04-04,Lenovo Auto Parser,,,,,,,,
Lenovo,G27e-20,,,500.0,,,5.0,WW,2021-06-1,https://static.lenovo.com/ww/docs/regulatory/eco-declaration/pcf-lenovo-g27e-20.pdf,fb2565d9cd124b8ce751482718698305,0.304,,,CN,,,,,,,2025-04-04,Lenovo Auto Parser,,,,,,,,
Lenovo,G25-20,,,342.0,,,5.0,WW,2021-6-1,https://p1-ofp.static.pub/ShareResource/compliance/eco-declaration/pdfs/Batch4/pcf-lenovo-g25-20.pdf,3888f8a306ce78517fc8898e86b9052e,0.295,,5.5,CN,24.5,,,,,,2025-04-04,Lenovo Auto Parser,,0.005,,,,,,
Lenovo,G24e-20,,,448.0,,,5.0,WW,2021-06-1,https://static.lenovo.com/ww/docs/regulatory/eco-declaration/2021/pcf-lenovo-g24e-20.pdf,f8f3a9ba5e8d4efc060293d09d284392,0.295,,,CN,23.8,,,,,,2025-04-04,Lenovo Auto Parser,,,,,,,,
Lenovo,G24-20,,,379.0,0.46,,5.0,WW,2021-05-1,https://static.lenovo.com/ww/docs/regulatory/eco-declaration/2021/pcf-lenovo-g24-20.pdf,14aea008b0ee1589f00d7b97efee433c,0.322,0.45,5.26,CN,23.8,,,,,,2025-04-04,Lenovo Auto Parser,0.08,0.01,0.11,,,,,
Lenovo,G24qe-20,,,1550.0,,,5.0,WW,2022-01-0,https://static.lenovo.com/ww/docs/regulatory/eco-declaration/pcf-lenovo-g24qe-20.pdf,979971535abde34ae0bada0fe2cf1c62,0.121,,3.98,CN,23.8,,,,,,2025-04-04,Lenovo Auto Parser,,,,,,,,
Lenovo,G24e-20,,,448.0,,,5.0,WW,2021-06-1,https://static.lenovo.com/ww/docs/regulatory/eco-declaration/pcf-lenovo-g24e-20.pdf,f8f3a9ba5e8d4efc060293d09d284392,0.295,,,CN,23.8,,,,,,2025-04-04,Lenovo Auto Parser,,,,,,,,
Lenovo,G24-20,,,379.0,0.46,,5.0,WW,2021-05-1,https://static.lenovo.com/ww/docs/regulatory/eco-declaration/pcf-lenovo-g24-20.pdf,14aea008b0ee1589f00d7b97efee433c,0.322,0.45,5.26,CN,23.8,,,,,,2025-04-04,Lenovo Auto Parser,0.08,0.01,0.11,,,,,
Lenovo,D24f-10,,,440.0,0.57,,5.0,WW,2018-11-2,https://static.lenovo.com/ww/docs/regulatory/eco-declaration/pcf-lenovo-d24f-10.pdf,1f1181123a298ddddf7d719fd49ede41,0.373,0.41,5.71,CN,23.6,,,,,,2025-04-04,Lenovo Auto Parser,0.01,0.01,0.09,,,,,
Lenovo,D32u-40 C32u-40 D32u-45,,,1190.0,0.08,,5.0,WW,2022-09-0,https://p1-ofp.static.pub/ShareResource/compliance/eco-declaration/pdfs/Batch7/pcf-lenovo-d32u-40_45_c32u-40.pdf,2972b82e0576d4d2ea3a1a788066dcf0,0.284,0.4,6.25,CN,31.5,,,,,,2025-04-04,Lenovo Auto Parser,0.22,0.3,,,,,,
Lenovo,C32-40 Lenovo D32-40/45,,,1040.0,0.32,,5.0,WW,2022-09-0,https://p2-ofp.static.pub/ShareResource/compliance/eco-declaration/pdfs/Batch7/pcf-lenovo-d32-40_45_c32-40.pdf,b348dd563b47d5450acad9e3b42d2f3b,0.32,0.44,6.33,CN,31.5,,,,,,2025-04-04,Lenovo Auto Parser,0.23,0.01,,,,,,
Lenovo,D32q-20/C32q-20,,,551.0,0.39,,5.0,WW,2019-07-1,https://static.lenovo.com/ww/docs/regulatory/eco-declaration/pcf-lenovo-c32q-20_d32q-20.pdf,70625f0de7406855437f8670b44d0ae9,0.203,,7.16,CN,31.5,,,,,,2025-04-04,Lenovo Auto Parser,,0.005,0.02,,,,,
Lenovo,D24-40 D24-45 C24-40,,,684.0,0.284,,5.0,WW,2022-10-2,https://p2-ofp.static.pub/ShareResource/compliance/eco-declaration/pdfs/Batch7/pcf-lenovo-d27-40_45_c27-40.pdf,d645096ddb803dc438a89250ecf54160,0.297,0.538,3.25,CN,23.8,,,,,,2025-04-04,Lenovo Auto Parser,0.173,0.005,,,,,,
Lenovo,D27q-30 Lenovo C27q-30 / 35,,,872.0,0.35,,5.0,WW,2021-04-1,https://p4-ofp.static.pub/ShareResource/compliance/eco-declaration/pdfs/Batch7/pcf-lenovo-d27q-30_c27q-30_35.pdf,47e97c1e39e9b430a0ca4a32b1e13144,0.281,0.44,4.73,CN,,,,,,,2025-04-04,Lenovo Auto Parser,0.2,0.01,,,,,,
Lenovo,ThinkVision C27-30 Lenovo C27-35 Lenovo D27-30,,,496.0,0.39,,5.0,World,,https://p1-ofp.static.pub/ShareResource/compliance/eco-declaration/pdfs/Batch5/pcf-thinkvision-c27-30_lenovo-c27-35_d27-30.pdf,8dd1ba008486b54319284431675c08df,0.403,0.55,4.75,China,,,,,,,2025-04-04,Lenovo Auto Parser,0.06,0.0,0.07,,,,,
Lenovo,D27-20/C27-20,,,366.0,0.24,,5.0,WW,2019-7-1,https://static.lenovo.com/ww/docs/regulatory/eco-declaration/pcf-lenovo-c27-20_d27-20.pdf,c3337922a0ff3329f405c3093c60455b,0.257,,4.82,CN,,,,,,,2025-04-04,Lenovo Auto Parser,,0.01,0.1,,,,,
Lenovo,D24-40 D24-45 C24-40,,,684.0,0.284,,5.0,WW,2022-10-2,https://p1-ofp.static.pub/ShareResource/compliance/eco-declaration/pdfs/Batch7/pcf-lenovo-d24-40_45_c24-40.pdf,1bb5983287d3100c4f1c775227f020ab,0.297,0.538,3.25,CN,23.8,,,,,,2025-04-04,Lenovo Auto Parser,0.173,0.005,,,,,,
Lenovo,C24-10/D24-10,,,343.0,,,5.0,WW,2018-06-0,https://static.lenovo.com/ww/docs/regulatory/eco-declaration/pcf-lenovo-c24-10_d24-10.pdf,434e0dde1b6b79d730ee6efaae2e36be,0.329,,5.26,CN,23.6,,,,,,2025-04-04,Lenovo Auto Parser,0.02,0.0,,,,,,
Lenovo,C22-20 C22-25 Lenovo D22-20,,,332.0,0.48,,5.0,WW,2020-06-0,https://p4-ofp.static.pub/ShareResource/compliance/eco-declaration/pdfs/Batch4/pcf-lenovo-c22-20_c22-25_d22-20.pdf,2548172ad0845c4c1bd282f607a56275,0.337,,2.71,CN,21.5,,,,,,2025-04-04,Lenovo Auto Parser,,0.0,,,,,,
